,precision,recall,f1-score,support
ADONIS,0.7142857142857143,1.0,0.8333333333333333,5.0
AFRICAN GIANT SWALLOWTAIL,1.0,1.0,1.0,5.0
AMERICAN SNOOT,1.0,0.8,0.888888888888889,5.0
AN 88,1.0,1.0,1.0,5.0
APPOLLO,0.625,1.0,0.7692307692307693,5.0
ARCIGERA FLOWER MOTH,1.0,1.0,1.0,5.0
ATALA,0.8333333333333334,1.0,0.9090909090909091,5.0
ATLAS MOTH,0.5555555555555556,1.0,0.7142857142857143,5.0
BANDED ORANGE HELICONIAN,1.0,1.0,1.0,5.0
BANDED PEACOCK,1.0,1.0,1.0,5.0
BANDED TIGER MOTH,1.0,0.8,0.888888888888889,5.0
BECKERS WHITE,1.0,0.8,0.888888888888889,5.0
BIRD CHERRY ERMINE MOTH,1.0,1.0,1.0,5.0
BLACK HAIRSTREAK,1.0,1.0,1.0,5.0
BLUE MORPHO,1.0,0.4,0.5714285714285715,5.0
BLUE SPOTTED CROW,1.0,1.0,1.0,5.0
BROOKES BIRDWING,1.0,1.0,1.0,5.0
BROWN ARGUS,0.5555555555555556,1.0,0.7142857142857143,5.0
BROWN SIPROETA,1.0,1.0,1.0,5.0
CABBAGE WHITE,0.625,1.0,0.7692307692307693,5.0
CAIRNS BIRDWING,0.8333333333333334,1.0,0.9090909090909091,5.0
CHALK HILL BLUE,1.0,0.2,0.33333333333333337,5.0
CHECQUERED SKIPPER,1.0,1.0,1.0,5.0
CHESTNUT,1.0,1.0,1.0,5.0
CINNABAR MOTH,1.0,1.0,1.0,5.0
CLEARWING MOTH,1.0,0.8,0.888888888888889,5.0
CLEOPATRA,1.0,1.0,1.0,5.0
CLODIUS PARNASSIAN,1.0,0.4,0.5714285714285715,5.0
CLOUDED SULPHUR,1.0,0.8,0.888888888888889,5.0
COMET MOTH,1.0,1.0,1.0,5.0
COMMON BANDED AWL,1.0,0.8,0.888888888888889,5.0
COMMON WOOD-NYMPH,0.8333333333333334,1.0,0.9090909090909091,5.0
COPPER TAIL,0.75,0.6,0.6666666666666665,5.0
CRECENT,0.8,0.8,0.8000000000000002,5.0
CRIMSON PATCH,0.8333333333333334,1.0,0.9090909090909091,5.0
DANAID EGGFLY,1.0,0.8,0.888888888888889,5.0
EASTERN COMA,1.0,1.0,1.0,5.0
EASTERN DAPPLE WHITE,0.75,0.6,0.6666666666666665,5.0
EASTERN PINE ELFIN,1.0,1.0,1.0,5.0
ELBOWED PIERROT,1.0,1.0,1.0,5.0
EMPEROR GUM MOTH,0.8333333333333334,1.0,0.9090909090909091,5.0
GARDEN TIGER MOTH,0.8333333333333334,1.0,0.9090909090909091,5.0
GIANT LEOPARD MOTH,1.0,1.0,1.0,5.0
GLITTERING SAPPHIRE,1.0,1.0,1.0,5.0
GOLD BANDED,1.0,0.8,0.888888888888889,5.0
GREAT EGGFLY,0.7142857142857143,1.0,0.8333333333333333,5.0
GREAT JAY,1.0,1.0,1.0,5.0
GREEN CELLED CATTLEHEART,0.8333333333333334,1.0,0.9090909090909091,5.0
GREEN HAIRSTREAK,1.0,1.0,1.0,5.0
GREY HAIRSTREAK,1.0,0.8,0.888888888888889,5.0
HERCULES MOTH,1.0,0.4,0.5714285714285715,5.0
HUMMING BIRD HAWK MOTH,0.8333333333333334,1.0,0.9090909090909091,5.0
INDRA SWALLOW,1.0,0.8,0.888888888888889,5.0
IO MOTH,1.0,1.0,1.0,5.0
Iphiclus sister,1.0,1.0,1.0,5.0
JULIA,1.0,1.0,1.0,5.0
LARGE MARBLE,0.0,0.0,0.0,5.0
LUNA MOTH,1.0,1.0,1.0,5.0
MADAGASCAN SUNSET MOTH,1.0,0.8,0.888888888888889,5.0
MALACHITE,1.0,0.8,0.888888888888889,5.0
MANGROVE SKIPPER,1.0,0.4,0.5714285714285715,5.0
MESTRA,1.0,0.8,0.888888888888889,5.0
METALMARK,1.0,1.0,1.0,5.0
MILBERTS TORTOISESHELL,1.0,0.8,0.888888888888889,5.0
MONARCH,1.0,1.0,1.0,5.0
MOURNING CLOAK,0.8,0.8,0.8000000000000002,5.0
OLEANDER HAWK MOTH,1.0,1.0,1.0,5.0
ORANGE OAKLEAF,0.8333333333333334,1.0,0.9090909090909091,5.0
ORANGE TIP,0.5555555555555556,1.0,0.7142857142857143,5.0
ORCHARD SWALLOW,0.8333333333333334,1.0,0.9090909090909091,5.0
PAINTED LADY,1.0,0.8,0.888888888888889,5.0
PAPER KITE,1.0,1.0,1.0,5.0
PEACOCK,0.8333333333333334,1.0,0.9090909090909091,5.0
PINE WHITE,1.0,1.0,1.0,5.0
PIPEVINE SWALLOW,1.0,1.0,1.0,5.0
POLYPHEMUS MOTH,1.0,0.8,0.888888888888889,5.0
POPINJAY,1.0,0.8,0.888888888888889,5.0
PURPLE HAIRSTREAK,0.4,0.8,0.5333333333333333,5.0
PURPLISH COPPER,1.0,0.8,0.888888888888889,5.0
QUESTION MARK,0.8333333333333334,1.0,0.9090909090909091,5.0
RED ADMIRAL,0.625,1.0,0.7692307692307693,5.0
RED CRACKER,1.0,0.8,0.888888888888889,5.0
RED POSTMAN,0.45454545454545453,1.0,0.625,5.0
RED SPOTTED PURPLE,1.0,1.0,1.0,5.0
ROSY MAPLE MOTH,1.0,1.0,1.0,5.0
SCARCE SWALLOW,1.0,1.0,1.0,5.0
SILVER SPOT SKIPPER,1.0,1.0,1.0,5.0
SIXSPOT BURNET MOTH,1.0,1.0,1.0,5.0
SLEEPY ORANGE,1.0,1.0,1.0,5.0
SOOTYWING,1.0,0.8,0.888888888888889,5.0
SOUTHERN DOGFACE,0.75,0.6,0.6666666666666665,5.0
STRAITED QUEEN,1.0,0.8,0.888888888888889,5.0
TROPICAL LEAFWING,1.0,1.0,1.0,5.0
TWO BARRED FLASHER,1.0,0.8,0.888888888888889,5.0
ULYSES,0.8333333333333334,1.0,0.9090909090909091,5.0
VICEROY,0.8333333333333334,1.0,0.9090909090909091,5.0
WHITE LINED SPHINX MOTH,1.0,0.6,0.7499999999999999,5.0
WOOD SATYR,1.0,1.0,1.0,5.0
YELLOW SWALLOW TAIL,1.0,0.8,0.888888888888889,5.0
ZEBRA LONG WING,1.0,0.8,0.888888888888889,5.0
accuracy,0.888,0.888,0.888,0.888
macro avg,0.9134145021645022,0.888,0.8830520313020312,500.0
weighted avg,0.9134145021645023,0.888,0.8830520313020314,500.0
